City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
imeni poliny osipenko,52.42,136.49,-1.8,96,9,7.05,RU,1583003180
maracaibo,10.63,-71.64,85.95,55,1,18.23,VE,1583002978
cascais,38.7,-9.42,61.0,82,20,8.05,PT,1583002904
floriano,-6.77,-43.02,87.91,62,96,2.15,BR,1583003180
acapulco,16.86,-99.89,86.0,70,5,6.93,MX,1583003140
clyde river,70.47,-68.59,-22.0,74,20,16.11,CA,1583003180
nanakuli,21.39,-158.15,73.0,77,40,14.99,US,1583003008
vodnyy,63.5,53.41,28.6,94,100,9.44,RU,1583003181
dwarka,22.24,68.97,74.71,83,0,12.95,IN,1583003181
vangaindrano,-23.35,47.6,72.03,90,24,3.98,MG,1583003181
coquimbo,-29.95,-71.34,64.4,77,75,10.29,CL,1583003181
novyy urengoy,66.08,76.63,7.16,86,45,19.53,RU,1583003181
ancud,-41.87,-73.82,73.4,60,12,10.29,CL,1583002984
nouadhibou,20.93,-17.03,73.4,60,0,18.34,MR,1583003181
platteville,42.73,-90.48,35.01,50,1,10.29,US,1583003181
port lincoln,-34.73,135.87,65.5,68,53,3.74,AU,1583002975
kalikino,52.95,39.83,32.0,90,25,8.95,RU,1583003181
norman wells,65.28,-126.83,-22.0,74,5,6.93,CA,1583002991
buala,-8.14,159.59,81.36,74,99,3.22,SB,1583002997
kathmandu,27.72,85.32,51.8,93,20,2.24,NP,1583003102
puerto ayacucho,5.66,-67.62,96.8,39,20,4.7,VE,1583003182
voloshka,61.33,40.09,16.45,94,91,6.67,RU,1583003182
burnie,-41.07,145.92,51.01,93,12,1.01,AU,1583003182
kununurra,-15.77,128.73,77.0,94,100,4.5,AU,1583003182
lake city,30.19,-82.64,66.0,23,1,20.8,US,1583003182
hambantota,6.12,81.12,78.8,94,5,5.82,LK,1583003182
sechura,-5.56,-80.82,74.3,89,58,14.72,PE,1583003182
yeppoon,-23.13,150.73,75.2,83,0,6.93,AU,1583003183
orel-izumrud,43.46,39.92,48.2,93,90,2.24,RU,1583003183
nosy varika,-20.58,48.53,76.32,86,21,5.28,MG,1583003007
linhares,-19.39,-40.07,82.67,81,62,4.68,BR,1583002977
bremerton,47.57,-122.63,46.99,86,75,9.17,US,1583002959
upernavik,72.79,-56.15,-22.34,83,59,4.07,GL,1583003183
niksic,42.77,18.94,44.6,74,100,1.12,ME,1583003183
bandarbeyla,9.49,50.81,77.67,72,54,12.26,SO,1583002958
okha,53.57,142.95,-0.81,98,62,6.67,RU,1583003183
okhotsk,59.38,143.3,0.68,68,0,8.23,RU,1583003142
surgut,61.25,73.42,30.2,100,40,15.66,RU,1583003184
tilichiki,60.47,166.1,-8.81,87,0,9.31,RU,1583002988
whitehorse,60.72,-135.05,3.99,75,40,3.36,CA,1583002987
walvis bay,-22.96,14.51,68.0,82,100,6.93,NA,1583003184
ust-omchug,61.15,149.63,-12.14,99,26,3.71,RU,1583002911
safaga,26.73,33.94,68.0,30,0,14.99,EG,1583003184
mastic beach,40.77,-72.85,36.0,37,40,12.75,US,1583003134
wageningen,51.97,5.67,45.0,72,67,16.11,NL,1583003184
colares,38.8,-9.45,60.01,82,20,8.05,PT,1583003184
alyangula,-13.85,136.42,77.0,100,100,3.36,AU,1583003185
tabuk,17.42,121.44,68.95,89,9,5.55,PH,1583003185
xai-xai,-25.05,33.64,69.51,79,60,8.3,MZ,1583003185
kyzyl-suu,42.34,78.0,29.07,67,0,6.44,KG,1583003185
moose factory,51.26,-80.61,5.0,71,90,8.05,CA,1583003185
virden,39.5,-89.77,42.01,55,1,8.05,US,1583003185
san cristobal,7.77,-72.22,84.2,62,40,10.29,VE,1583003185
aden,12.78,45.04,78.55,58,0,7.11,YE,1583002895
bundaberg,-24.85,152.35,71.6,88,7,5.82,AU,1583003185
nyakahanga,-1.6,31.14,67.26,75,31,3.36,TZ,1583003185
guilin,25.28,110.29,64.4,100,75,6.71,CN,1583003185
chara,56.91,118.26,-7.76,94,66,1.03,RU,1583003186
talara,-4.58,-81.27,62.6,100,40,13.87,PE,1583003186
sooke,48.37,-123.73,48.0,61,1,23.04,CA,1583003186
mitsamiouli,-11.38,43.28,83.8,72,100,8.03,KM,1583003186
taoudenni,22.68,-3.98,84.76,8,0,9.98,ML,1583003186
labrea,-7.26,-64.8,90.43,56,91,1.57,BR,1583003186
kahului,20.89,-156.47,69.01,77,40,14.99,US,1583003180
cobija,-11.03,-68.77,89.6,66,20,6.17,BO,1583003186
emporia,38.4,-96.18,64.4,27,1,19.46,US,1583003186
vilcun,-38.65,-72.23,95.0,31,0,5.82,CL,1583003186
ternate,0.8,127.4,76.01,92,71,4.12,ID,1583003187
chenzhou,25.8,113.03,57.79,92,100,3.47,CN,1583003187
ocampo,21.65,-101.5,68.67,27,0,4.92,MX,1583003187
lagoa formosa,-18.78,-46.41,73.99,100,100,6.69,BR,1583003187
vestmanna,62.16,-7.17,37.4,91,100,40.26,FO,1583003187
tevriz,57.51,72.4,30.16,88,100,9.53,RU,1583003187
along,28.17,94.77,54.9,82,6,4.18,IN,1583003187
port-cartier,50.03,-66.87,26.01,85,90,11.41,CA,1583003187
nampula,-15.12,39.27,72.61,96,98,6.38,MZ,1583003187
broken hill,-31.95,141.43,71.6,30,63,9.17,AU,1583003187
sukumo,32.93,132.73,49.19,91,79,12.12,JP,1583003187
najran,17.49,44.13,78.8,15,5,2.24,SA,1583003188
sakakah,29.97,40.21,64.4,25,0,0.49,SA,1583003188
salym,60.06,71.48,31.53,85,100,14.25,RU,1583003188
maba,24.68,113.6,64.89,87,7,2.17,CN,1583003188
avera,33.19,-82.53,57.99,30,40,19.46,US,1583002976
belyy yar,53.6,91.39,35.6,64,100,8.95,RU,1583003188
moshi,-3.35,37.33,78.8,65,40,11.41,TZ,1583002944
aviles,43.55,-5.92,57.0,54,40,14.99,ES,1583003188
el alto,-4.27,-81.21,62.6,100,40,13.87,PE,1583003188
kirovsk,48.64,38.64,34.7,71,94,1.01,UA,1583003189
binzhou,37.37,118.02,43.68,78,100,5.84,CN,1583003189
layou,13.2,-61.27,86.0,62,20,3.36,VC,1583003189
hokitika,-42.72,170.97,53.02,79,4,8.68,NZ,1583003189
nizhniy kuranakh,58.84,125.49,-4.11,100,100,0.85,RU,1583003189
claymont,39.8,-75.46,36.0,34,75,16.11,US,1583003189
guaruja,-23.99,-46.26,78.01,83,90,5.82,BR,1583003189
pointe michel,15.25,-61.38,82.4,65,75,3.36,DM,1583003189
san patricio,19.22,-104.7,87.8,70,5,6.38,MX,1583003189
nazret,8.55,39.27,73.9,32,0,8.81,ET,1583003190
hobyo,5.35,48.53,76.95,77,42,13.8,SO,1583003190
agadez,19.75,10.25,76.95,9,0,8.19,NE,1583003190
garowe,8.41,48.48,73.06,55,4,17.34,SO,1583003190
coari,-4.08,-63.14,89.42,61,82,2.53,BR,1583003190
churapcha,62.0,132.43,-11.18,92,0,2.93,RU,1583003190
klaksvik,62.23,-6.59,37.4,84,100,40.26,FO,1583003190
greencastle,39.64,-86.86,37.0,39,1,8.05,US,1583002906
les cayes,18.2,-73.75,79.36,78,3,11.03,HT,1583003191
qeshm,26.96,56.27,71.6,56,38,6.93,IR,1583003191
tivaouane,14.95,-16.81,87.8,22,11,19.46,SN,1583003191
comodoro rivadavia,-45.87,-67.5,84.2,39,0,11.41,AR,1583003153
krasnyy yar,46.53,48.35,39.2,51,97,6.71,RU,1583003191
charters towers,-20.1,146.27,72.05,90,0,5.73,AU,1583002930
palana,59.12,159.97,-1.46,75,0,4.16,RU,1583003191
eyl,7.98,49.82,77.97,75,19,19.24,SO,1583002926
manvi,15.98,77.05,83.44,33,100,10.16,IN,1583003191
tecoanapa,16.52,-98.75,94.26,38,0,7.58,MX,1583003192
pochutla,15.74,-96.47,89.6,52,5,11.41,MX,1583003192
khasan,42.43,130.64,24.91,73,3,4.03,RU,1583003192
adet,11.26,37.49,75.25,24,11,9.19,ET,1583003192
cairns,-16.92,145.77,78.8,88,90,4.7,AU,1583003173
corn island,12.17,-83.04,80.53,79,1,19.15,NI,1583003192
novyy buh,47.69,32.52,35.6,74,51,3.89,UA,1583003192
rodbyhavn,54.65,11.35,48.0,84,100,5.99,DK,1583003192
andenes,69.31,16.12,26.6,79,100,19.46,NO,1583003192
kutum,14.2,24.67,71.1,13,19,8.95,SD,1583002990
mount gambier,-37.83,140.77,55.4,100,92,9.17,AU,1583003192
anchorage,61.22,-149.9,15.01,71,1,5.28,US,1583002944
namtsy,62.72,129.67,-20.2,75,0,4.47,RU,1583003193
